Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	tree_length
0	-3805.863	-3950.788	144.9249	0.197221	0.050653	0.0839595	0.10867	0.0444468	0.0347761	0.00261541	0.052983	0.0739267	0.099423	0.037632	0.116082	0.0670728	0.00868143	0.123027	0.0695832	0.259012	0.134448	0.158742	0.0432764	0.152122	0.154976	0.0307131	0.00230556	0.0103275	0.0631772	0.125571	0.0505871	0.0667354	0.0417939	0.0684469	0.0321927	0.106307	0.0485898	0.0845407	0.0313083	0.0750484	0.215148	0.0301638	0.00908793	0.0058883	0.0204319	0.0216101	0.0365004	0.0436322	0.0248815	0.0501379	0.0694824	0.0527734	0.00313197	0.171317	0.0561736	0.0921444	0.0384272	0.0269777	0.0170999	0.0192983	0.112219	0.31838	0.168548	0.0652049	0.068397	0.0018104	0.311804	0.00815052	0.00961207	0.0304514	0.0153717	0.0172284	0.0348047	0.0598601	0.0377462	0.0537507	0.01661	0.101405	0.0335769	0.0319359	0.0652122	0.243499	0.203626	0.0428503	0.0165598	0.0113135	0.0304053	0.0322382	0.0473833	0.0534664	0.0313701	0.00262146	0.882872	1.06643	0.336469	0.587882	0.847272	1.18026	1.70102	2.97204	0.7876019	0.4695415	0.0318474	0.00817949	0.0135578	0.0175482	0.0071773	0.00561566	0.000422338	0.00855573	0.0119377	0.0160549	0.00607684	0.018745	0.010831	0.00140188	0.0198664	0.0112363	0.0418254	0.0217108	0.0256337	0.00698831	0.0245647	0.0250256	0.00495957	0.000372304	0.00166769	0.0102019	0.0202772	0.00816884	0.0107765	0.0067489	0.0110528	0.00519849	0.0171664	0.00784631	0.0136517	0.00505568	0.0121189	0.0347422	0.00487086	0.00146753	0.000950846	0.00329935	0.00348962	0.00589411	0.00704575	0.00401789	0.0080963	0.0112201	0.00852188	0.000505752	0.0276644	0.00907095	0.0148795	0.00620525	0.00435638	0.0027613	0.0031163	0.0181212	0.0514122	0.0272173	0.0105293	0.0110448	0.000292344	0.0503504	0.00131615	0.00155216	0.00491731	0.00248223	0.00278205	0.00562029	0.00966625	0.00609528	0.00867969	0.0026822	0.0163749	0.00542201	0.00515703	0.0105305	0.0393204	0.0328817	0.0069195	0.00267409	0.00182691	0.00490986	0.00520584	0.00765149	0.00863378	0.00506566	0.000423314	6.192693
36	-3807.916	-3956.569	148.6528	0.21202	0.0575033	0.0719159	0.0967007	0.0171155	0.0512459	0.0199129	0.0399747	0.0318427	0.0853121	0.0353765	0.0843476	0.0354447	0.0303659	0.0633063	0.0714102	0.0958844	0.0515814	0.132814	0.0714243	0.0426615	0.0784922	0.0451174	0.00196453	0.00134344	0.069945	0.0881598	0.0231758	0.0232952	0.0356854	0.0567268	0.0197782	0.0684518	0.0300694	0.0346862	0.0200783	0.0361613	0.148996	0.0213163	0.0363581	0.0115427	0.017706	0.0121398	0.0105253	0.00786886	0.0180999	0.0206624	0.0178947	0.0553096	0.0328819	0.0793701	0.0610348	0.0675982	0.016704	0.0272972	0.016301	0.0077397	0.0336284	0.113509	0.0876308	0.0161255	0.030004	0.0192574	0.147457	0.015649	0.0050658	0.0708153	0.0413405	0.0147158	0.0433015	0.0374197	0.0448141	0.0265639	0.0257494	0.0613187	0.0256713	0.0205584	0.0477258	0.126625	0.0990439	0.0179354	0.00799269	0.00136752	0.00992521	0.0126852	0.0257864	0.0606126	0.068353	3.94033e-05	0.801454	1.11261	0.256825	0.515322	0.813156	1.22978	1.94053	3.8937	0.9829105	0.4085502	0.0519997	0.0141032	0.017638	0.0237167	0.00419774	0.0125685	0.00488382	0.00980416	0.00780971	0.0209236	0.00867641	0.020687	0.00869312	0.00744751	0.0155264	0.017514	0.0235165	0.0126508	0.0325737	0.0175174	0.0104631	0.0192509	0.0110654	0.000481817	0.00032949	0.0171546	0.021622	0.00568408	0.00571336	0.00875217	0.0139127	0.00485077	0.0167884	0.0073748	0.00850711	0.00492437	0.00886889	0.0365425	0.005228	0.00891714	0.00283094	0.00434256	0.00297739	0.00258142	0.00192991	0.00443917	0.00506763	0.00438884	0.0135652	0.00806458	0.0194662	0.0149693	0.0165791	0.00409681	0.00669487	0.00399798	0.00189823	0.00824765	0.0278392	0.0214922	0.00395492	0.00735874	0.00472305	0.0361652	0.00383805	0.00124243	0.0173681	0.0101391	0.00360918	0.0106201	0.00917752	0.010991	0.00651502	0.00631527	0.0150389	0.00629611	0.00504212	0.0117052	0.0310559	0.0242914	0.0043988	0.00196028	0.000335396	0.00243425	0.00311116	0.00632433	0.0148658	0.0167642	9.66401e-06	4.077325
72	-3811.156	-3958.857	147.7012	0.227377	0.0379629	0.0458572	0.0806569	0.102424	0.00315749	0.0525131	0.0205579	0.0249278	0.0447736	0.0472623	0.11099	0.0224714	0.0198472	0.102494	0.0550108	0.0800138	0.0687407	0.163951	0.0182449	0.0726769	0.0630282	0.0452616	0.00535624	0.0166619	0.057826	0.0895271	0.0365717	0.0470984	0.0265897	0.0498207	0.0503291	0.0696904	0.0220459	0.0582309	0.0135457	0.0890974	0.11936	0.0291537	0.000951959	0.00863746	0.0104143	0.0149128	0.0073329	0.0222975	0.0109706	0.0806368	0.00394823	0.232815	0.0172	0.0739587	0.0725634	0.0132337	0.0345776	0.0319068	0.0476021	0.00247475	0.020157	0.0563135	0.00523837	0.037811	0.0116138	0.0325203	0.0568545	0.228485	0.148451	0.0282219	0.0201032	0.0235282	0.05425	0.0131172	0.0481675	0.0114167	0.0127951	0.0150022	0.0362652	0.28453	0.056539	0.0403515	0.0572113	0.0264766	0.0201898	0.0435482	0.024645	0.0656862	0.00769391	0.0873932	0.0481796	0.0300392	0.793662	1.11703	0.262786	0.521121	0.816	1.22549	1.91894	3.80538	0.9663205	0.4029774	0.049106	0.00819873	0.00990364	0.0174192	0.0221203	0.000681914	0.0113411	0.00443982	0.00538358	0.00966963	0.0102071	0.0239701	0.00485309	0.00428635	0.0221352	0.0118805	0.0172804	0.0148457	0.035408	0.0039403	0.0156958	0.013612	0.00977502	0.00115677	0.00359843	0.0124885	0.0193349	0.00789828	0.0101717	0.0057425	0.0107596	0.0108694	0.0150508	0.00476119	0.012576	0.00292542	0.0192421	0.0257778	0.00629625	0.000205592	0.00186541	0.00224914	0.00322066	0.00158366	0.00481554	0.0023693	0.0174149	0.000852688	0.0502803	0.00371462	0.0159727	0.0156713	0.00285804	0.00746763	0.00689081	0.0102805	0.000534464	0.00435325	0.0121619	0.00113132	0.00816592	0.0025082	0.00702332	0.0122787	0.0493453	0.0320606	0.006095	0.00434164	0.00508132	0.0117162	0.00283288	0.0104026	0.00246564	0.00276333	0.00323998	0.0078321	0.0614492	0.0122106	0.0087146	0.0123558	0.00571807	0.00436034	0.00940498	0.00532251	0.0141861	0.00166163	0.018874	0.0104052	0.00648749	4.630335
108	-3807.435	-3956.025	148.59	0.1771	0.0806472	0.0413383	0.0271534	0.016993	0.0312045	0.00931222	0.0488857	0.0305626	0.0462011	0.0332371	0.0470669	0.023118	0.0773834	0.0962345	0.061651	0.0967623	0.0538795	0.120558	0.0102013	0.10639	0.0987128	0.0314619	0.00284665	0.00204727	0.0462629	0.0764425	0.0500571	0.0772842	0.0102489	0.0439244	0.0177498	0.046912	0.0380823	0.043691	0.0200225	0.0625675	0.125377	0.015725	0.0131574	0.0180743	0.0155972	0.0300452	0.00313655	0.0169207	0.0143137	0.025138	0.201122	0.00206107	0.0494753	0.0259342	0.0758463	0.0382857	0.011888	0.104144	0.0187615	0.0543731	0.0228691	0.000672463	0.00324125	0.0285017	0.00272661	0.037637	0.0660382	0.0468601	0.0152565	0.00394488	0.185679	0.0431749	0.120967	0.0204133	0.0513822	0.149115	0.0538588	0.0423097	0.0978055	0.07974	0.0347879	0.0469926	0.0141282	0.0216599	0.0258088	0.00862646	2.36478e-05	0.00272867	0.00595177	0.00157237	0.0440648	0.0441656	0.784632	1.12215	0.233096	0.491525	0.80125	1.24805	2.03449	4.29007	1.053008	0.3965743	0.0433403	0.0197361	0.0101164	0.00664502	0.00415856	0.00763642	0.0022789	0.0119634	0.00747933	0.0113064	0.00813384	0.0115183	0.00565747	0.0189374	0.0235507	0.0150873	0.0236798	0.0131855	0.0295031	0.00249649	0.0260358	0.0241572	0.00769941	0.000696638	0.000501011	0.0113215	0.0187071	0.0122501	0.0189131	0.00250814	0.0107492	0.00434376	0.0114804	0.00931956	0.0106921	0.00489994	0.0153116	0.0306826	0.00384824	0.00321991	0.00442316	0.00381698	0.00735272	0.000767581	0.00414087	0.00350286	0.0061518	0.0492189	0.00050439	0.0121077	0.00634665	0.0185612	0.00936935	0.00290925	0.0254864	0.00459135	0.0133063	0.00559657	0.000164566	0.000793204	0.00697497	0.000667261	0.00921058	0.016161	0.0114677	0.00373361	0.000965398	0.0454398	0.0105658	0.0296033	0.00499557	0.0125744	0.0364916	0.0131804	0.0103541	0.0239351	0.0195141	0.00851335	0.0115001	0.00345748	0.00530064	0.00631598	0.00211108	5.78713e-06	0.000667766	0.00145653	0.000384793	0.0107836	0.0108083	4.086275
144	-3808.461	-3954.86	146.3986	0.305959	0.0958551	0.0427582	0.0485117	0.0441984	0.0478717	0.0590078	0.0324288	0.0955415	0.0345427	0.0296132	0.0933992	0.0776715	0.0334313	0.0953097	0.134911	0.0967159	0.0787967	0.210702	0.0391621	0.0925695	0.073199	0.0346746	0.00378098	0.00739969	0.0301042	0.0770869	0.0243381	0.0549277	0.0334666	0.096083	0.0317241	0.11228	0.134059	0.0541014	0.0191075	0.0763102	0.185368	0.0269471	0.0194081	0.00988518	0.00262498	0.00529458	0.000680169	0.00699372	0.013113	0.0564854	0.216954	0.00531482	0.059061	0.0844506	0.0874078	0.0366614	0.0155812	0.0905405	0.0178911	0.0155606	0.034261	0.0236606	0.0444155	0.0078498	0.00144307	0.0453153	0.0270741	0.0560583	0.0296888	0.0164796	0.254032	0.0563749	0.0359676	0.0357408	0.0481055	0.322221	0.0412165	0.0497352	0.115501	0.0870925	0.0169075	0.0119103	0.0192553	0.0359489	0.0260197	0.0239398	0.00275518	0.0186543	0.00529332	0.0329	0.0451679	0.0266368	0.961317	1.02194	0.247709	0.506318	0.808697	1.23656	1.97504	4.037	1.009044	0.5335191	0.0587768	0.0184144	0.00821414	0.00931942	0.00849079	0.00919646	0.0113358	0.00622979	0.0183541	0.00663587	0.0056889	0.0179426	0.0149212	0.00642237	0.0183096	0.0259174	0.0185798	0.0151374	0.0404772	0.0075233	0.0177832	0.014062	0.00666122	0.000726351	0.00142153	0.00578321	0.0148089	0.00467551	0.010552	0.00642915	0.0184582	0.0060944	0.0215697	0.0257535	0.0103932	0.00367067	0.0146597	0.0356104	0.00517671	0.00372841	0.00189901	0.000504275	0.00101712	0.000130665	0.00134354	0.00251909	0.0108512	0.0416783	0.00102101	0.011346	0.0162235	0.0167916	0.0070429	0.00299325	0.0173934	0.00343699	0.0029893	0.00658176	0.00454535	0.00853251	0.001508	0.000277222	0.00870537	0.00520111	0.0107692	0.00570341	0.00316583	0.0488012	0.01083	0.00690961	0.00686603	0.00924138	0.0619008	0.00791797	0.00955445	0.0221885	0.016731	0.00324804	0.00228804	0.00369907	0.00690601	0.00499856	0.004599	0.000529288	0.00358361	0.00101688	0.0063203	0.00867706	0.00511711	5.205445
180	-3800.134	-3947.267	147.1322	0.267219	0.0327598	0.0900014	0.0312829	0.0860358	0.0086991	0.0250218	0.0196088	0.0399256	0.00469409	0.0698447	0.0720705	0.0480635	0.0469589	0.102474	0.0657521	0.153507	0.0921082	0.108157	0.0256694	0.067156	0.0839345	0.0366001	0.0048932	0.00448939	0.0656563	0.0587974	0.0386498	0.041467	0.0559417	0.0618261	0.0315612	0.0628611	0.0826729	0.0224419	0.0446823	0.0795841	0.180202	0.0237012	0.00339725	0.00352211	0.0106891	0.0196366	0.00777776	0.0221672	0.00965361	0.0468562	0.23168	0.0148347	0.0319306	0.0460478	0.175184	0.0119687	0.0601868	0.0684803	0.0154871	0.0522214	0.0113828	0.0129517	0.0257677	0.00368116	0.000289	0.0387454	0.0579054	0.099985	0.050534	0.0135864	0.220658	0.0562533	0.0603212	0.0264719	0.0460709	0.320466	0.041739	0.0913842	0.114667	0.0708153	0.00249969	0.0541602	0.00740543	0.00108187	0.0456977	0.0110511	0.00593133	0.0239351	0.0198787	0.0358642	0.0516703	0.0356237	0.835686	1.09319	0.270043	0.528091	0.819389	1.22042	1.89361	3.70311	0.9466227	0.4335656	0.0542338	0.0066488	0.0182664	0.00634907	0.0174615	0.00176554	0.00507834	0.00397973	0.00810316	0.000952696	0.0141754	0.0146272	0.0097548	0.00953061	0.0207977	0.0133448	0.0311553	0.0186939	0.0219511	0.00520977	0.0136297	0.017035	0.00742823	0.000993106	0.000911149	0.0133254	0.0119333	0.00784422	0.00841599	0.0113537	0.012548	0.00640555	0.0127581	0.016779	0.00455473	0.00906856	0.0161521	0.0365732	0.00481031	0.000689494	0.000714835	0.00216942	0.00398537	0.00157855	0.00449898	0.00195926	0.00950976	0.0470208	0.0030108	0.00648051	0.0093457	0.0355547	0.00242913	0.0122153	0.0138985	0.00314321	0.0105987	0.00231021	0.00262864	0.00522972	0.000747114	5.86544e-05	0.00786362	0.0117523	0.0202926	0.0102562	0.00275746	0.0447839	0.011417	0.0122426	0.00537265	0.00935039	0.0650406	0.0084712	0.018547	0.0232724	0.0143724	0.000507327	0.0109922	0.00150298	0.000219571	0.00927464	0.00224289	0.0012038	0.00485777	0.00403451	0.00727886	0.0104868	0.00723006	4.927167
216	-3799.602	-3946.141	146.5393	0.283001	0.0558323	0.105408	0.0219212	0.0550112	0.0714138	0.00268936	0.0680126	0.0490809	0.108529	0.0395464	0.109111	0.0269705	0.0419402	0.0943475	0.0599374	0.102687	0.0867328	0.1462	0.027196	0.105097	0.14145	0.0474403	0.0037004	0.0170317	0.0456596	0.084246	0.0662612	0.0509061	0.0577043	0.0628685	0.0322192	0.0637449	0.0606934	0.0541197	0.0603605	0.069304	0.207441	0.0454016	0.0162916	0.0089817	0.00759969	0.0243522	0.00289553	0.00375914	0.0192462	0.0415378	0.28658	0.00372677	0.0337354	0.0471741	0.058451	0.0459814	0.0225716	0.109794	0.0303573	0.0970413	0.0290201	0.0390351	0.0227972	0.00159545	0.00976168	0.0360085	0.056982	0.0322861	0.00231365	0.00085303	0.236453	0.0201832	0.0762899	0.00652134	0.091726	0.310129	0.0424427	0.082806	0.136015	0.0116601	0.000844317	0.0409281	0.0153318	0.0551953	0.0479477	0.0383212	0.0123563	0.0100507	0.0562871	0.0183293	0.0368704	0.0215162	0.832079	1.09524	0.292232	0.548825	0.829293	1.20585	1.82207	3.42194	0.8895256	0.4308881	0.0534958	0.010554	0.0199254	0.00414378	0.0103988	0.0134994	0.000508371	0.0128565	0.00927779	0.0205153	0.00747548	0.0206253	0.00509825	0.00792797	0.0178346	0.01133	0.0194109	0.0163951	0.0276362	0.00514087	0.0198666	0.0267384	0.00896765	0.000699488	0.00321951	0.00863106	0.0159251	0.0125254	0.0096228	0.0109079	0.0118841	0.0060904	0.0120497	0.0114729	0.0102303	0.01141	0.0131006	0.0392128	0.00858229	0.00307961	0.00169782	0.00143657	0.00460331	0.000547343	0.000710592	0.00363811	0.0078519	0.0541724	0.000704473	0.00637702	0.00891734	0.011049	0.00869188	0.00426673	0.0207544	0.00573845	0.0183438	0.00548569	0.00737882	0.00430937	0.000301589	0.00184525	0.0068067	0.0107713	0.00610305	0.00043735	0.000161249	0.0446968	0.00381525	0.0144211	0.00123273	0.017339	0.0586239	0.00802297	0.0156528	0.0257109	0.00220412	0.000159602	0.00773666	0.00289817	0.0104336	0.00906358	0.00724388	0.00233571	0.0018999	0.01064	0.00346481	0.00696963	0.00406722	5.290152
252	-3815.814	-3963.36	147.5466	0.164784	0.0328191	0.0743352	0.0392978	0.0374672	0.00805191	0.00370462	0.040575	0.0168374	0.00260328	0.0345772	0.119757	0.0309368	0.119231	0.0680722	0.0608999	0.0854142	0.0752747	0.172486	0.0478309	0.0662922	0.119398	0.0335601	0.00476751	0.00482399	0.0210481	0.0942904	0.00847388	0.0536543	0.043332	0.0378035	0.0352863	0.0406245	0.0564107	0.0818645	0.0220387	0.0609512	0.219926	0.0298108	0.0298733	0.00346583	0.0315258	0.0221471	0.020869	0.0208676	0.016615	0.00589293	0.0488392	0.0153246	0.168191	0.0634579	0.0444542	0.0568522	0.0145656	0.0300533	0.00796004	0.0297768	0.0693737	0.0193499	0.254757	0.165812	0.0163023	0.0269468	0.0940994	0.0609933	0.0139572	0.0289619	0.0421691	0.0216486	0.0928142	0.168901	0.00672393	0.0323184	0.0565884	0.010797	0.116164	0.0625085	0.0247176	0.0556137	0.0747644	0.11349	0.0136734	0.0290802	0.0206934	0.0456566	0.00819597	0.0370829	0.0139591	0.051521	0.763281	1.13426	0.269024	0.527118	0.818918	1.22112	1.89711	3.71714	0.9493568	0.3816643	0.0346938	0.00690975	0.0156506	0.00827379	0.00788837	0.00169525	0.000779972	0.00854269	0.00354496	0.000548096	0.00727991	0.0252138	0.00651345	0.025103	0.014332	0.0128219	0.0179831	0.0158484	0.0363153	0.0100703	0.0139572	0.025138	0.00706575	0.00100375	0.00101565	0.00443149	0.0198519	0.0017841	0.0112964	0.00912314	0.00795917	0.0074292	0.00855311	0.0118767	0.0172358	0.00464005	0.0128327	0.0463033	0.00627638	0.00628953	0.000729698	0.00663745	0.00466287	0.00439377	0.00439348	0.00349814	0.0012407	0.0102826	0.00322644	0.0354111	0.0133605	0.00935942	0.0119697	0.00306665	0.00632745	0.00167591	0.00626923	0.014606	0.00407394	0.0536367	0.0349101	0.00343229	0.00567339	0.0198117	0.0128416	0.00293856	0.00609765	0.0088783	0.00455792	0.0195412	0.0355606	0.00141566	0.00680433	0.0119142	0.00227321	0.0244573	0.0131606	0.00520405	0.0117089	0.0157409	0.0238943	0.0028788	0.00612256	0.0043568	0.00961256	0.00172559	0.00780746	0.00293895	0.0108473	4.749679
288	-3797.39	-3943.685	146.2956	0.174659	0.0639866	0.0581537	0.0838755	0.0538211	0.04986	0.00199879	0.0659663	0.0529383	0.0695052	0.0519593	0.153045	0.0668733	0.059297	0.121829	0.0525013	0.114908	0.0620229	0.155527	0.0322851	0.0695203	0.052403	0.0424346	0.0103077	0.0106447	0.0684103	0.0815074	0.0403381	0.0483142	0.0294444	0.0691875	0.0054369	0.0731373	0.0700397	0.0943496	0.00486906	0.0857211	0.288153	0.0170736	0.0120433	0.0168182	0.0307412	0.0198912	0.0137463	0.012042	0.0174226	0.0482129	0.288126	0.00082422	0.0747957	0.0357566	0.153243	0.0419897	0.0151896	0.0683228	0.0194065	0.150928	0.017337	0.0663604	0.00733604	0.0467239	0.0234375	0.032821	0.044648	0.0875709	0.0737957	0.049638	0.197402	0.0439686	0.0818957	0.0045156	0.105862	0.222523	0.0321087	0.0359351	0.11319	0.0222512	0.0237	0.0393642	0.0789656	0.0143042	0.0421686	0.0298673	0.00493302	0.0251274	0.0419318	0.0100637	0.0545471	0.0406658	0.792908	1.11746	0.28273	0.540048	0.825133	1.21193	1.85169	3.53695	0.9134266	0.4024402	0.032102	0.0117606	0.0106885	0.0154161	0.00989219	0.00916416	0.000367373	0.0121244	0.00972994	0.0127749	0.00955	0.0281294	0.0122911	0.0108987	0.0223919	0.00964962	0.0211198	0.0113997	0.0285854	0.00593392	0.0127777	0.00963156	0.00779937	0.00189454	0.00195647	0.0125737	0.0149809	0.00741406	0.00888003	0.00541181	0.0127165	0.00099929	0.0134425	0.0128731	0.0173412	0.000894922	0.0157553	0.0529619	0.00313809	0.00221352	0.00309115	0.00565017	0.00365595	0.00252653	0.0022133	0.00320224	0.00886143	0.052957	0.00015149	0.0137473	0.00657199	0.0281658	0.00771761	0.00279182	0.0125576	0.00356687	0.0277402	0.0031865	0.0121969	0.00134835	0.00858775	0.00430776	0.00603242	0.00820619	0.0160953	0.0135635	0.00912336	0.0362821	0.00808132	0.0150522	0.000829957	0.0194571	0.0408993	0.0059015	0.00660479	0.020804	0.00408973	0.004356	0.00723506	0.0145137	0.00262908	0.00775048	0.00548954	0.000906678	0.00461836	0.00770697	0.00184968	0.0100256	0.00747428	5.440765
324	-3815.517	-3963.122	147.6054	0.172746	0.0831772	0.0271123	0.0141868	0.0492117	0.0509724	0.00404993	0.0544466	0.0504225	0.065768	0.0558659	0.14057	0.0280063	0.0647097	0.0730194	0.100544	0.0593639	0.105047	0.149249	0.0399091	0.0746629	0.104749	0.041386	0.00207436	0.000278905	0.074579	0.0774149	0.0217867	0.0615419	0.0308361	0.0842424	0.0102959	0.0712805	0.0614398	0.0803435	0.0257232	0.102247	0.198001	0.0485284	0.013195	0.00669479	0.00212821	0.0340663	0.00561639	0.000463258	0.0149612	0.009205	0.0557723	0.0297908	0.00598205	0.0894461	0.0366672	0.0770184	0.0616632	0.0148706	0.016558	0.016227	0.0586058	0.131751	0.140925	0.00954392	0.0069948	0.0304527	0.235196	0.0300855	0.000214552	0.0209365	0.0376826	0.0294514	0.0268099	0.0156435	0.0145025	0.158109	0.0270663	0.0393843	0.032731	0.0380939	0.0324877	0.068006	0.0564225	0.0401872	0.0137854	0.024219	0.0210576	0.00785885	0.01444	0.0621592	0.015327	0.0184005	0.941596	1.03312	0.224958	0.483079	0.796929	1.25482	2.07005	4.44527	1.078703	0.5169171	0.0383144	0.0184484	0.0060134	0.00314658	0.010915	0.0113055	0.000898259	0.012076	0.0111835	0.0145871	0.0123908	0.0311779	0.0062117	0.0143523	0.0161954	0.0223002	0.0131667	0.0232991	0.0331029	0.00885169	0.0165599	0.0232329	0.00917926	0.000460085	6.18601e-05	0.0165413	0.0171703	0.0048322	0.0136498	0.00683933	0.0186846	0.0022836	0.0158097	0.0136271	0.0178199	0.0057053	0.022678	0.0439158	0.0107634	0.00292661	0.00148488	0.000472029	0.00755578	0.00124569	0.000102749	0.00331833	0.00204163	0.0123701	0.00660748	0.0013268	0.0198388	0.00813263	0.0170824	0.0136767	0.00329824	0.0036725	0.00359908	0.0129985	0.0292218	0.0312567	0.0021168	0.00155142	0.00675429	0.0521656	0.00667284	4.75868e-05	0.00464363	0.00835785	0.00653221	0.00594633	0.00346967	0.0032166	0.035068	0.00600319	0.00873527	0.00725961	0.00844909	0.00720565	0.0150835	0.0125143	0.00891335	0.00305756	0.00537168	0.00467049	0.00174306	0.00320274	0.0137867	0.00339948	0.00408116	4.508648
